id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,metodo_pago,canal_venta,total_venta,mes,dia_semana,trimestre,tiene_devolucion,region,segmento,categoria,precio_lista,proveedor,descuento_relativo
46,2023-02-02,227,132,8,163993.0,Transferencia,App,1311944.0,2,3,1,0,Valparaíso,Nuevo,Hogar,452786.0,ProvF,0.6378134482956629
47,2023-02-03,39,111,9,374344.0,Tarjeta Crédito,App,3369096.0,2,4,1,0,Araucanía,Nuevo,Ropa,89542.0,ProvC,-1.0
48,2023-02-04,29,125,2,403526.0,Tarjeta Crédito,Tienda Física,807052.0,2,5,1,0,Araucanía,Nuevo,Belleza,,ProvF,
49,2023-02-05,245,132,14,429154.0,Tarjeta Débito,App,6008156.0,2,6,1,0,Metropolitana,VIP,Hogar,452786.0,ProvF,0.05219242644428052
50,2023-02-05,236,20,14,498817.0,Efectivo,App,6983438.0,2,6,1,0,Metropolitana,Nuevo,Deportes,385227.0,ProvC,-0.29486510550921924
52,2023-02-07,272,24,6,21135.0,Tarjeta Crédito,Web,126810.0,2,1,1,0,Araucanía,Premium,Deportes,26789.0,ProvB,0.21105677703535033
53,2023-02-07,236,154,11,206185.0,Efectivo,Web,2268035.0,2,1,1,0,Metropolitana,Nuevo,Hogar,72353.0,ProvF,-1.0
54,2023-02-08,239,37,3,65910.0,Tarjeta Débito,Tienda Física,197730.0,2,2,1,0,Biobío,Premium,Ropa,481362.0,ProvE,0.863076021788176
55,2023-02-09,266,54,8,12191.0,Tarjeta Crédito,,97528.0,2,3,1,0,Metropolitana,Nuevo,Alimentos,178630.0,ProvC,0.9317527850864916
57,2023-02-10,177,149,14,392085.0,Tarjeta Crédito,Marketplace,5489190.0,2,4,1,0,Araucanía,Regular,Alimentos,275215.0,ProvF,-0.4246498192322366
59,2023-02-12,142,174,13,157076.0,Webpay,Marketplace,2041988.0,2,6,1,0,Biobío,VIP,Deportes,388796.0,ProvB,0.5959937859442999
60,2023-02-13,158,4,2,327517.0,Transferencia,Tienda Física,655034.0,2,0,1,0,Maule,Regular,Belleza,271278.5,ProvE,-0.2073090937910671
61,2023-02-13,146,188,13,116777.0,Tarjeta Crédito,App,1518101.0,2,0,1,1,Biobío,Premium,Belleza,481124.0,ProvE,0.7572829457686584
63,2023-02-15,153,173,6,382412.0,Webpay,Web,2294472.0,2,2,1,0,Los Lagos,VIP,Belleza,,ProvF,
64,2023-02-16,193,20,16,312248.0,Transferencia,Tienda Física,4995968.0,2,3,1,0,Biobío,Regular,Deportes,385227.0,ProvC,0.18944414591915934
65,2023-02-16,73,17,2,381389.0,Efectivo,App,762778.0,2,3,1,1,Araucanía,Regular,Belleza,180735.0,ProvA,-1.0
66,2023-02-17,140,119,8,20430.0,Tarjeta Débito,Tienda Física,163440.0,2,4,1,0,Maule,Nuevo,Belleza,465448.0,ProvC,0.9561068046269401
67,2023-02-18,187,71,17,418723.0,Transferencia,Web,7118291.0,2,5,1,0,Biobío,Premium,Belleza,,ProvF,
68,2023-02-18,,4,2,310144.0,Efectivo,Web,620288.0,2,5,1,0,O'Higgins,Nuevo,Belleza,271278.5,ProvE,-0.14326789627633593
69,2023-02-19,61,14,10,282134.0,Tarjeta Débito,Tienda Física,2821340.0,2,6,1,0,Metropolitana,Regular,Belleza,,ProvF,
70,2023-02-20,198,3,16,312682.0,Efectivo,App,5002912.0,2,0,1,0,Araucanía,Nuevo,Alimentos,398101.0,ProvF,0.2145661528104677
71,2023-02-21,,80,6,432352.0,Transferencia,Tienda Física,2594112.0,2,1,1,0,O'Higgins,Nuevo,Ropa,14229.0,ProvB,-1.0
72,2023-02-21,11,186,2,293881.0,Transferencia,App,587762.0,2,1,1,0,Maule,VIP,Belleza,373276.0,ProvB,0.2126978428830142
73,2023-02-22,62,55,2,290894.0,Tarjeta Crédito,Marketplace,581788.0,2,2,1,0,Los Lagos,Nuevo,Belleza,379165.0,ProvE,0.23280366067543154
74,2023-02-23,226,132,13,495349.0,Efectivo,,6439537.0,2,3,1,0,Metropolitana,VIP,Hogar,452786.0,ProvF,-0.0940024647405176
75,2023-02-24,153,120,15,378608.0,Efectivo,Marketplace,5679120.0,2,4,1,0,Los Lagos,VIP,Belleza,,ProvF,
76,2023-02-24,199,24,2,221705.0,Tarjeta Crédito,Tienda Física,443410.0,2,4,1,0,Valparaíso,Premium,Deportes,26789.0,ProvB,-1.0
77,2023-02-25,52,162,7,353991.0,Efectivo,App,2477937.0,2,5,1,0,Coquimbo,Nuevo,Alimentos,353415.0,ProvF,-0.0016298119774203132
78,2023-02-26,260,158,3,195226.0,Tarjeta Crédito,Marketplace,585678.0,2,6,1,0,Araucanía,VIP,Belleza,42969.0,ProvB,-1.0
79,2023-02-26,59,82,80,115209.0,Tarjeta Débito,Marketplace,9216720.0,2,6,1,0,Araucanía,VIP,Ropa,470175.0,ProvF,0.7549657042590525
82,2023-03-01,63,188,7,464641.0,Tarjeta Débito,Tienda Física,3252487.0,3,2,1,0,Los Lagos,VIP,Belleza,481124.0,ProvE,0.03425935933356058
83,2023-03-01,243,60,1,171611.0,Webpay,Marketplace,171611.0,3,2,1,0,O'Higgins,Premium,Deportes,427875.0,ProvA,0.5989225825299445
84,2023-03-02,107,147,17,264311.0,Webpay,App,4493287.0,3,3,1,0,Maule,Nuevo,Belleza,247716.0,ProvD,-0.06699203927077782
85,2023-03-03,226,49,9,106606.0,Tarjeta Crédito,Marketplace,959454.0,3,4,1,0,Metropolitana,VIP,Belleza,369211.0,ProvB,0.7112599570435334
86,2023-03-04,218,63,13,497820.0,Efectivo,Web,6471660.0,3,5,1,0,Maule,Nuevo,Ropa,49819.0,ProvD,-1.0
88,2023-03-05,259,150,19,325105.0,Tarjeta Débito,Web,6176995.0,3,6,1,1,Valparaíso,VIP,Hogar,221324.0,ProvA,-0.4689098335471978
89,2023-03-06,262,152,17,402403.0,Tarjeta Débito,Web,6840851.0,3,0,1,0,Los Lagos,Regular,Belleza,176107.0,ProvF,-1.0
90,2023-03-07,5,109,10,357835.0,Tarjeta Débito,Web,3578350.0,3,1,1,0,Biobío,Premium,Belleza,401937.0,ProvA,0.10972366316114217
91,2023-03-07,261,76,10,296986.0,Webpay,App,2969860.0,3,1,1,0,Metropolitana,Nuevo,Hogar,329688.0,ProvF,0.09919075004246439
92,2023-03-08,54,30,4,27621.0,Tarjeta Débito,Tienda Física,110484.0,3,2,1,0,Los Lagos,Regular,Alimentos,258634.0,ProvD,0.8932042964188777
95,2023-03-10,177,159,14,339088.0,Tarjeta Débito,Tienda Física,4747232.0,3,4,1,0,Araucanía,Regular,Belleza,350784.0,ProvC,0.03334245575624886
96,2023-03-11,9,100,18,187188.0,Tarjeta Crédito,Web,3369384.0,3,5,1,1,Araucanía,Nuevo,Belleza,422593.0,ProvD,0.5570489809343742
98,2023-03-12,20,19,15,84511.0,Transferencia,App,1267665.0,3,6,1,0,Maule,Nuevo,Belleza,261599.0,ProvC,0.676944483732736
99,2023-03-13,241,176,4,250679.0,Transferencia,Web,1002716.0,3,0,1,0,Biobío,Regular,Hogar,212687.0,ProvF,-0.17862868910652743
100,2023-03-14,61,173,13,345751.0,Webpay,App,4494763.0,3,1,1,0,Metropolitana,Regular,Belleza,,ProvF,
101,2023-03-15,178,94,8,348871.0,Tarjeta Débito,Marketplace,2790968.0,3,2,1,0,Coquimbo,VIP,Ropa,51288.0,ProvD,-1.0
103,2023-03-16,145,113,12,138369.0,Efectivo,Web,1660428.0,3,3,1,0,Maule,Premium,Deportes,403611.0,ProvA,0.6571723763722991
104,2023-03-17,216,,14,78947.0,Tarjeta Crédito,Tienda Física,1105258.0,3,4,1,0,Metropolitana,Regular,Belleza,,ProvF,
105,2023-03-17,3,146,2,318334.0,Tarjeta Crédito,Web,636668.0,3,4,1,0,O'Higgins,Regular,Belleza,46512.0,ProvC,-1.0
106,2023-03-18,160,63,18,300052.0,Transferencia,App,5400936.0,3,5,1,0,Araucanía,Premium,Ropa,49819.0,ProvD,-1.0
107,2023-03-19,227,116,2,90499.0,Transferencia,Tienda Física,180998.0,3,6,1,0,Valparaíso,Nuevo,Alimentos,186637.0,ProvD,0.515106865198219
108,2023-03-20,269,113,11,352864.0,Transferencia,Marketplace,3881504.0,3,0,1,0,O'Higgins,Nuevo,Deportes,403611.0,ProvA,0.12573245030487276
109,2023-03-20,120,47,9,228131.0,Tarjeta Débito,App,2053179.0,3,0,1,0,Maule,VIP,Belleza,140687.0,ProvC,-0.6215499655263101
110,2023-03-21,,57,12,334213.0,Efectivo,Marketplace,4010556.0,3,1,1,0,O'Higgins,Nuevo,Ropa,58920.0,ProvB,-1.0
111,2023-03-22,68,118,17,418846.0,Efectivo,Marketplace,7120382.0,3,2,1,0,Metropolitana,Premium,Alimentos,171061.0,ProvB,-1.0
112,2023-03-23,98,45,15,85694.0,Efectivo,Marketplace,1285410.0,3,3,1,0,O'Higgins,Nuevo,Hogar,357583.0,ProvB,0.7603521420201743
113,2023-03-23,267,161,17,10553.0,Efectivo,Web,179401.0,3,3,1,1,Maule,Premium,Belleza,411108.0,ProvD,0.9743303462837016
115,2023-03-25,123,198,6,305239.0,Tarjeta Crédito,App,1831434.0,3,5,1,0,Maule,Nuevo,Ropa,264323.0,ProvA,-0.15479545858665344
118,2023-03-27,195,47,8,401603.0,Transferencia,Marketplace,3212824.0,3,0,1,0,Metropolitana,Regular,Belleza,140687.0,ProvC,-1.0
119,2023-03-28,226,143,9,480499.0,Efectivo,App,4324491.0,3,1,1,0,Metropolitana,VIP,Deportes,376435.0,ProvB,-0.2764461327984911
120,2023-03-28,170,198,6,268432.0,Webpay,Web,1610592.0,3,1,1,0,Maule,Nuevo,Ropa,264323.0,ProvA,-0.015545374409340089
121,2023-03-29,,47,5,244759.0,Tarjeta Crédito,Marketplace,1223795.0,3,2,1,0,O'Higgins,Nuevo,Belleza,140687.0,ProvC,-0.7397414117864479
122,2023-03-30,40,78,12,201542.0,Webpay,Tienda Física,2418504.0,3,3,1,0,Araucanía,Nuevo,Belleza,36214.0,ProvD,-1.0
123,2023-03-31,25,124,11,77692.0,Tarjeta Débito,Tienda Física,854612.0,3,4,1,0,Coquimbo,Premium,Belleza,52459.0,ProvA,-0.4810042128138165
125,2023-04-01,226,,11,139229.0,Tarjeta Débito,Tienda Física,1531519.0,4,5,2,1,Metropolitana,VIP,Belleza,,ProvF,
126,2023-04-02,124,137,19,460732.0,Transferencia,App,8753908.0,4,6,2,0,Coquimbo,VIP,Belleza,,ProvF,
127,2023-04-03,38,90,9,292012.0,Webpay,App,2628108.0,4,0,2,0,Araucanía,VIP,Belleza,480634.0,ProvA,0.39244414668958083
128,2023-04-03,251,144,2,296827.0,Efectivo,App,593654.0,4,0,2,1,Metropolitana,VIP,Ropa,223580.0,ProvD,-0.32760980409696755
129,2023-04-04,176,69,12,178107.0,Efectivo,,2137284.0,4,1,2,0,Coquimbo,VIP,Deportes,308309.0,ProvB,0.4223100850121145
130,2023-04-05,90,61,4,26943.0,Transferencia,App,107772.0,4,2,2,0,O'Higgins,Nuevo,Belleza,352125.0,ProvC,0.9234845580404686
131,2023-04-05,37,138,4,16840.0,Efectivo,Web,67360.0,4,2,2,0,Biobío,Nuevo,Ropa,316287.0,ProvC,0.9467572173374182
132,2023-04-06,176,50,18,212244.0,Webpay,App,3820392.0,4,3,2,0,Coquimbo,VIP,Belleza,277623.0,ProvA,0.2354956181584379
133,2023-04-07,284,3,15,43198.0,Efectivo,App,647970.0,4,4,2,0,Biobío,VIP,Alimentos,398101.0,ProvF,0.8914898480536346
134,2023-04-08,81,107,19,303817.0,Webpay,Tienda Física,5772523.0,4,5,2,0,Biobío,VIP,Alimentos,438859.0,ProvF,0.3077115884600749
135,2023-04-08,114,113,13,440606.0,Tarjeta Débito,App,5727878.0,4,5,2,0,Metropolitana,Regular,Deportes,403611.0,ProvA,-0.09166003899794604
136,2023-04-09,40,94,19,441574.0,Webpay,Marketplace,8389906.0,4,6,2,0,Araucanía,Nuevo,Ropa,51288.0,ProvD,-1.0
137,2023-04-10,224,118,17,329864.0,Tarjeta Crédito,Web,5607688.0,4,0,2,0,Los Lagos,Premium,Alimentos,171061.0,ProvB,-0.9283413519153986
138,2023-04-11,115,198,6,106405.0,Tarjeta Crédito,,638430.0,4,1,2,0,O'Higgins,VIP,Ropa,264323.0,ProvA,0.5974432796237936
139,2023-04-11,186,81,16,431635.0,Tarjeta Crédito,Web,6906160.0,4,1,2,0,O'Higgins,Regular,Deportes,293302.0,ProvB,-0.47164015247083213
140,2023-04-12,56,109,12,443161.0,Transferencia,Marketplace,5317932.0,4,2,2,0,O'Higgins,VIP,Belleza,401937.0,ProvA,-0.10256333704038195
141,2023-04-13,,51,19,99130.0,Transferencia,Tienda Física,1883470.0,4,3,2,0,O'Higgins,Nuevo,Alimentos,306249.0,ProvA,0.676309147131909
142,2023-04-14,40,147,5,368976.0,Transferencia,Tienda Física,1844880.0,4,4,2,0,Araucanía,Nuevo,Belleza,247716.0,ProvD,-0.48951218330668994
143,2023-04-14,237,170,17,143973.0,Webpay,App,2447541.0,4,4,2,0,Coquimbo,Nuevo,Belleza,493015.0,ProvD,0.7079744024015496
144,2023-04-15,289,35,1,401518.0,Transferencia,Web,401518.0,4,5,2,0,O'Higgins,Premium,Hogar,40150.0,ProvF,-1.0
145,2023-04-16,262,46,10,498622.0,Tarjeta Débito,Marketplace,4986220.0,4,6,2,0,Los Lagos,Regular,Deportes,330438.0,ProvE,-0.5089729389476997
146,2023-04-16,216,154,15,15983.0,Tarjeta Crédito,Marketplace,239745.0,4,6,2,0,Metropolitana,Regular,Hogar,72353.0,ProvF,0.7790969275634735
147,2023-04-17,147,69,11,448786.0,Webpay,Tienda Física,4936646.0,4,0,2,0,O'Higgins,Regular,Deportes,308309.0,ProvB,-0.45563703946365497
148,2023-04-18,168,93,13,311693.0,Tarjeta Crédito,App,4052009.0,4,1,2,0,Maule,Regular,Deportes,35611.0,ProvF,-1.0
149,2023-04-19,92,64,5,486718.0,Transferencia,Tienda Física,2433590.0,4,2,2,0,Maule,VIP,Belleza,246316.0,ProvF,-0.9759901914613748
150,2023-04-19,59,165,1,233040.0,Webpay,Tienda Física,233040.0,4,2,2,0,Araucanía,VIP,Belleza,493333.0,ProvF,0.5276213024468259
151,2023-04-20,59,49,12,423847.0,Efectivo,Tienda Física,5086164.0,4,3,2,0,Araucanía,VIP,Belleza,369211.0,ProvB,-0.1479804231184878
153,2023-04-22,269,74,850,168304.0,Transferencia,Marketplace,143058400.0,4,5,2,0,O'Higgins,Nuevo,Alimentos,252065.0,ProvC,0.3322992085374804
154,2023-04-22,45,192,4,34441.0,Transferencia,Marketplace,137764.0,4,5,2,1,O'Higgins,Premium,Alimentos,112574.0,ProvE,0.6940590189564197
156,2023-04-24,170,,9,408670.0,Tarjeta Débito,Tienda Física,3678030.0,4,0,2,0,Maule,Nuevo,Belleza,,ProvF,
158,2023-04-25,155,90,19,469045.0,Transferencia,Tienda Física,8911855.0,4,1,2,0,Valparaíso,Regular,Belleza,480634.0,ProvA,0.02411190219584965
159,2023-04-26,188,4,12,43467.0,Transferencia,Marketplace,521604.0,4,2,2,1,Araucanía,VIP,Belleza,271278.5,ProvE,0.8397698306353065
161,2023-04-27,133,39,10,36446.0,Webpay,Marketplace,364460.0,4,3,2,0,Araucanía,Regular,Deportes,348291.0,ProvD,0.8953576176243428
162,2023-04-28,235,163,17,106186.0,Webpay,App,1805162.0,4,4,2,0,Biobío,Nuevo,Ropa,41593.0,ProvF,-1.0
164,2023-04-30,249,24,16,235084.0,Webpay,Web,3761344.0,4,6,2,1,Araucanía,Premium,Deportes,26789.0,ProvB,-1.0
165,2023-04-30,31,57,7,135013.0,Tarjeta Débito,Tienda Física,945091.0,4,6,2,0,Biobío,Nuevo,Ropa,58920.0,ProvB,-1.0
166,2023-05-01,23,100,9,51388.0,Webpay,Web,462492.0,5,0,2,0,Metropolitana,Regular,Belleza,422593.0,ProvD,0.8783983643836978
167,2023-05-02,,70,3,84578.0,Webpay,Tienda Física,253734.0,5,1,2,0,O'Higgins,Nuevo,Belleza,317912.0,ProvE,0.7339578248068648
168,2023-05-03,158,41,15,74491.0,Tarjeta Débito,Tienda Física,1117365.0,5,2,2,0,Maule,Regular,Belleza,87474.0,ProvF,0.14842124516999336
169,2023-05-03,39,182,16,486565.0,Efectivo,Marketplace,7785040.0,5,2,2,0,Araucanía,Nuevo,Deportes,29095.0,ProvC,-1.0
170,2023-05-04,82,174,18,379887.0,Webpay,Marketplace,6837966.0,5,3,2,1,Los Lagos,Premium,Deportes,388796.0,ProvB,0.022914330394345622
171,2023-05-05,,60,14,483913.0,Webpay,Marketplace,6774782.0,5,4,2,0,O'Higgins,Nuevo,Deportes,427875.0,ProvA,-0.1309681565877885
173,2023-05-06,77,188,12,139906.0,Tarjeta Crédito,Marketplace,1678872.0,5,5,2,0,Los Lagos,Premium,Belleza,481124.0,ProvE,0.7092100996832418
175,2023-05-08,295,31,7,163801.0,Tarjeta Crédito,Marketplace,1146607.0,5,0,2,0,Biobío,Regular,Belleza,162155.0,ProvB,-0.010150781659523296
176,2023-05-08,224,84,9,150392.0,Tarjeta Débito,Tienda Física,1353528.0,5,0,2,0,Los Lagos,Premium,Belleza,194697.0,ProvC,0.2275587194461137
177,2023-05-09,13,152,13,117020.0,Tarjeta Crédito,App,1521260.0,5,1,2,1,O'Higgins,Nuevo,Belleza,176107.0,ProvF,0.33551761145212855
178,2023-05-10,46,36,18,65710.0,Tarjeta Débito,,1182780.0,5,2,2,0,Maule,Nuevo,Belleza,13650.0,ProvA,-1.0
179,2023-05-11,155,158,5,128975.0,Tarjeta Débito,App,644875.0,5,3,2,1,Valparaíso,Regular,Belleza,42969.0,ProvB,-1.0
180,2023-05-11,113,152,13,178305.0,Tarjeta Crédito,App,2317965.0,5,3,2,1,Valparaíso,Regular,Belleza,176107.0,ProvF,-0.012481048453497021
181,2023-05-12,233,108,4,337323.0,Transferencia,Web,1349292.0,5,4,2,0,Biobío,Premium,Ropa,367800.0,ProvB,0.08286296900489397
182,2023-05-13,17,106,2,32220.0,Tarjeta Crédito,App,64440.0,5,5,2,0,Biobío,Nuevo,Alimentos,314842.0,ProvD,0.8976629547519073
186,2023-05-16,74,,6,171980.0,Tarjeta Débito,Marketplace,1031880.0,5,1,2,0,Coquimbo,Nuevo,Belleza,,ProvF,
187,2023-05-16,,183,11,432465.0,Transferencia,Tienda Física,4757115.0,5,1,2,0,O'Higgins,Nuevo,Belleza,60290.0,ProvF,-1.0
188,2023-05-17,224,14,1,78308.0,Webpay,Web,78308.0,5,2,2,0,Los Lagos,Premium,Belleza,,ProvF,
192,2023-05-20,278,144,13,282141.0,Tarjeta Débito,Marketplace,3667833.0,5,5,2,0,Araucanía,Nuevo,Ropa,223580.0,ProvD,-0.26192414348331694
194,2023-05-22,242,106,9,69437.0,Tarjeta Débito,App,624933.0,5,0,2,0,Biobío,Premium,Alimentos,314842.0,ProvD,0.7794544565210486
196,2023-05-23,192,44,7,253249.0,Webpay,App,1772743.0,5,1,2,0,O'Higgins,Nuevo,Belleza,275064.0,ProvF,0.07930881540296077
198,2023-05-24,12,,18,312375.0,Tarjeta Crédito,Marketplace,5622750.0,5,2,2,0,Maule,Premium,Belleza,,ProvF,
199,2023-05-25,193,184,3,137547.0,Efectivo,Tienda Física,412641.0,5,3,2,0,Biobío,Regular,Alimentos,59646.0,ProvA,-1.0
201,2023-05-27,120,84,12,42054.0,Webpay,Marketplace,504648.0,5,5,2,1,Maule,VIP,Belleza,194697.0,ProvC,0.784002835174656
202,2023-05-27,210,82,12,230332.0,Tarjeta Crédito,Marketplace,2763984.0,5,5,2,0,Coquimbo,Premium,Ropa,470175.0,ProvF,0.5101143191364917
203,2023-05-28,270,107,8,153925.0,Efectivo,Web,1231400.0,5,6,2,0,O'Higgins,Nuevo,Alimentos,438859.0,ProvF,0.6492609243515571
208,2023-06-01,164,161,13,362778.0,Webpay,Web,4716114.0,6,3,2,0,Metropolitana,Regular,Belleza,411108.0,ProvD,0.11756034910534457
210,2023-06-02,227,70,10,333939.0,Transferencia,Tienda Física,3339390.0,6,4,2,0,Valparaíso,Nuevo,Belleza,317912.0,ProvE,-0.05041332192556431
211,2023-06-03,7,127,12,388748.0,Tarjeta Crédito,App,4664976.0,6,5,2,0,Los Lagos,Regular,Belleza,413402.0,ProvF,0.059636866778583555
213,2023-06-04,33,160,10,157624.0,Tarjeta Crédito,App,1576240.0,6,6,2,1,Araucanía,VIP,Hogar,37309.0,ProvE,-1.0
214,2023-06-05,134,148,14,269473.0,Tarjeta Crédito,App,3772622.0,6,0,2,0,Valparaíso,Premium,Belleza,29722.0,ProvF,-1.0
215,2023-06-06,79,143,13,420214.0,Tarjeta Débito,App,5462782.0,6,1,2,0,O'Higgins,Premium,Deportes,376435.0,ProvB,-0.11629896263631172
216,2023-06-07,58,176,5,494736.0,Transferencia,Marketplace,2473680.0,6,2,2,0,Biobío,Regular,Hogar,212687.0,ProvF,-1.0
217,2023-06-07,26,199,6,444870.0,Tarjeta Crédito,Marketplace,2669220.0,6,2,2,1,O'Higgins,Nuevo,Ropa,496489.0,ProvA,0.10396806374360762
218,2023-06-08,226,149,2,186362.0,Tarjeta Débito,Marketplace,372724.0,6,3,2,0,Metropolitana,VIP,Alimentos,275215.0,ProvF,0.32284940864415096
219,2023-06-09,285,170,17,98388.0,Efectivo,Marketplace,1672596.0,6,4,2,0,O'Higgins,Nuevo,Belleza,493015.0,ProvD,0.8004360922081478
220,2023-06-10,4,154,4,245207.0,Tarjeta Débito,Tienda Física,980828.0,6,5,2,0,O'Higgins,Nuevo,Hogar,72353.0,ProvF,-1.0
221,2023-06-10,99,120,14,371079.0,Tarjeta Débito,Web,5195106.0,6,5,2,1,Metropolitana,Nuevo,Belleza,,ProvF,
222,2023-06-11,39,128,10,246792.0,Tarjeta Crédito,Marketplace,2467920.0,6,6,2,0,Araucanía,Nuevo,Hogar,160705.0,ProvE,-0.5356833950406024
