id_producto,nombre,categoria,subcategoria,precio_lista,stock,proveedor
58.0,,Deportes,Sub_A,23955.0,34.0,ProvD
59.0,Producto_59,Electrónica,Sub_E,21324.0,252.0,ProvA
60.0,Producto_60,Deportes,Sub_D,427875.0,389.0,ProvA
61.0,Producto_61,Tecnología,Sub_B,352125.0,81.0,ProvC
62.0,Producto_62,Ropa,Sub_C,237613.0,370.0,ProvE
63.0,,ROPA,Sub_A,49819.0,255.0,ProvD
64.0,Producto_64,Electrónica,Sub_A,246316.0,196.0,ProvF
65.0,Producto_65,Ropa,Sub_D,237262.0,302.0,ProvF
66.0,Producto_66,Alimentos,Sub_C,87428.0,408.0,ProvB
67.0,Producto_67,Ropa,Sub_E,217492.0,449.0,ProvD
68.0,Producto_68,Deportes,Sub_C,199854.0,9.0,ProvF
69.0,Producto_69,Deportes,Sub_D,308309.0,311.0,ProvB
70.0,,BELLEZA,Sub_D,317912.0,285.0,ProvE
,Producto_71,Deportes,Sub_C,,241.0,ProvB
72.0,Producto_72,Belleza,Sub_D,187932.0,250.0,ProvF
73.0,Producto_73,Deportes,Sub_C,,364.0,ProvC
74.0,Producto_74,Alimentos,Sub_B,252065.0,4.0,ProvC
75.0,Producto_75,Belleza,Sub_C,428388.0,118.0,ProvC
76.0,Producto_76,Hogar,Sub_C,329688.0,288.0,ProvF
77.0,Producto_77,Tecnología,Sub_D,82304.0,373.0,ProvC
78.0,Producto_78,Electrónica,Sub_D,36214.0,64.0,ProvD
79.0,Producto_79,Deportes,Sub_A,321567.0,145.0,ProvE
80.0,Producto_80,ROPA,Sub_A,14229.0,,ProvB
81.0,Producto_81,Deportes,Sub_B,293302.0,238.0,ProvB
82.0,Producto_82,  Ropa  ,Sub_A,470175.0,176.0,
83.0,,Tecnología,Sub_C,288162.0,266.0,ProvC
84.0,Producto_84,TECNOLOGÍA,,194697.0,340.0,ProvC
85.0,Producto_85,Tecnología,Sub_A,322001.0,281.0,ProvA
86.0,Producto_86,Ropa,Sub_A,229668.0,62.0,
87.0,Producto_87,Deportes,Sub_B,273263.0,216.0,ProvD
88.0,Producto_88,  Tecnología  ,Sub_B,470791.0,341.0,ProvB
89.0,Producto_89,Alimentos,Sub_C,193665.0,314.0,ProvA
90.0,Producto_90,Belleza,Sub_D,480634.0,282.0,ProvA
91.0,Producto_91,Ropa,Sub_B,452770.0,176.0,ProvF
92.0,Producto_92,,Sub_A,98700.0,460.0,ProvB
93.0,Producto_93,Deportes,Sub_D,35611.0,416.0,ProvF
94.0,Producto_94,Ropa,,51288.0,97.0,ProvD
95.0,Producto_95,Ropa,Sub_A,10093.0,104.0,ProvA
96.0,Producto_96,Tecnología,Sub_B,48127.0,98.0,ProvA
97.0,Producto_97,DEPORTES,Sub_A,341820.0,384.0,ProvE
98.0,Producto_98,Tecnología,Sub_D,36523.0,404.0,ProvD
99.0,Producto_99,Belleza,Sub_E,160169.0,495.0,ProvA
100.0,Producto_100,Belleza,Sub_E,422593.0,310.0,ProvD
101.0,Producto_101,Tecnología,Sub_C,12613.0,5.0,ProvB
102.0,Producto_102,belleza,Sub_A,407420.0,475.0,ProvC
103.0,Producto_103,DEPORTES,Sub_A,141646.0,464.0,ProvA
104.0,Producto_104,Electrónica,Sub_C,59964.0,196.0,ProvE
105.0,Producto_105,Tecnología,Sub_C,348672.0,350.0,ProvB
106.0,Producto_106,Alimentos,Sub_C,314842.0,132.0,ProvD
107.0,Producto_107,Alimentos,Sub_D,438859.0,357.0,ProvF
108.0,Producto_108,Ropa,Sub_A,367800.0,258.0,ProvB
109.0,Producto_109,Belleza,Sub_D,401937.0,436.0,ProvA
110.0,Producto_110,Alimentos,,141735.0,22.0,ProvD
111.0,Producto_111,Ropa,Sub_A,89542.0,484.0,ProvC
112.0,Producto_112,electrónica,Sub_D,375557.0,52.0,ProvB
113.0,Producto_113,Deportes,Sub_D,403611.0,,ProvA
114.0,Producto_114,Deportes,Sub_C,495262.0,201.0,ProvE
115.0,Producto_115,Deportes,Sub_A,,457.0,ProvF
116.0,Producto_116,ALIMENTOS,Sub_C,186637.0,82.0,ProvD
117.0,Producto_117,  Electrónica  ,Sub_A,388430.0,144.0,ProvB
118.0,Producto_118,Alimentos,Sub_E,171061.0,84.0,ProvB
119.0,Producto_119,Belleza,Sub_B,465448.0,77.0,ProvC
,Producto_120,Alimentos,Sub_B,,456.0,ProvC
121.0,,Electrónica,Sub_B,215068.0,365.0,ProvE
122.0,Producto_122,  Electrónica  ,Sub_C,375685.0,0.0,ProvF
123.0,Producto_123,Belleza,,377517.0,50.0,ProvE
124.0,Producto_124,Electrónica,Sub_A,52459.0,172.0,ProvA
,Producto_125,Electrónica,Sub_D,451374.0,204.0,ProvA
126.0,Producto_126,Deportes,Sub_A,253121.0,259.0,ProvE
127.0,Producto_127,Belleza,Sub_D,413402.0,445.0,ProvF
128.0,Producto_128,Hogar,Sub_A,160705.0,448.0,ProvE
129.0,Producto_129,Hogar,Sub_E,447866.0,368.0,ProvF
130.0,Producto_130,Electrónica,Sub_D,195212.0,487.0,ProvF
131.0,Producto_131,hogar,Sub_C,6408.0,287.0,ProvD
132.0,Producto_132,Hogar,Sub_A,452786.0,33.0,ProvF
133.0,Producto_133,Electrónica,Sub_A,46552.0,347.0,ProvC
134.0,Producto_134,Hogar,Sub_D,160338.0,94.0,ProvF
135.0,Producto_135,Alimentos,Sub_C,475081.0,71.0,ProvF
136.0,Producto_136,Ropa,Sub_C,475353.0,38.0,ProvF
,Producto_137,Belleza,Sub_E,287146.0,153.0,ProvA
138.0,Producto_138,Ropa,Sub_C,316287.0,249.0,ProvC
139.0,Producto_139,,,224774.0,161.0,ProvC
140.0,Producto_140,Deportes,Sub_C,147312.0,437.0,ProvE
141.0,Producto_141,,Sub_B,165004.0,117.0,ProvD
142.0,Producto_142,Electrónica,Sub_E,336587.0,258.0,ProvF
143.0,Producto_143,Deportes,Sub_A,376435.0,,ProvB
144.0,Producto_144,Ropa,Sub_D,,305.0,ProvD
145.0,Producto_145,Electrónica,Sub_A,395019.0,267.0,ProvD
146.0,Producto_146,Belleza,Sub_E,46512.0,448.0,ProvC
147.0,Producto_147,Belleza,Sub_D,247716.0,53.0,ProvD
148.0,Producto_148,Tecnología,Sub_E,29722.0,235.0,ProvF
149.0,Producto_149,Alimentos,Sub_C,275215.0,388.0,ProvF
150.0,Producto_150,Hogar,Sub_D,221324.0,477.0,ProvA
151.0,Producto_151,Deportes,Sub_C,443964.0,221.0,ProvF
152.0,Producto_152,Tecnología,Sub_A,176107.0,250.0,ProvF
153.0,Producto_153,Hogar,Sub_A,,312.0,ProvC
154.0,Producto_154,  Hogar  ,Sub_D,72353.0,400.0,ProvF
155.0,Producto_155,Electrónica,Sub_D,,111.0,ProvA
156.0,Producto_156,hogar,Sub_E,309491.0,254.0,ProvB
157.0,Producto_157,,Sub_E,51460.0,302.0,ProvC
158.0,Producto_158,,Sub_C,42969.0,406.0,ProvB
159.0,Producto_159,Tecnología,Sub_D,350784.0,206.0,ProvC
160.0,Producto_160,Hogar,Sub_A,37309.0,228.0,ProvE
161.0,Producto_161,  Electrónica  ,Sub_E,411108.0,340.0,ProvD
162.0,Producto_162,Alimentos,Sub_E,353415.0,397.0,
163.0,Producto_163,ropa,Sub_A,41593.0,65.0,ProvF
164.0,,belleza,Sub_E,43334.0,74.0,ProvB
165.0,Producto_165,Belleza,Sub_C,493333.0,,ProvF
166.0,Producto_166,tecnología,Sub_D,187761.0,102.0,ProvD
167.0,Producto_167,Belleza,Sub_A,185950.0,421.0,ProvC
168.0,Producto_168,Hogar,Sub_D,406587.0,191.0,ProvD
169.0,Producto_169,Electrónica,Sub_E,473677.0,251.0,ProvA
170.0,Producto_170,Belleza,Sub_E,493015.0,225.0,ProvD
171.0,Producto_171,,Sub_A,376936.0,293.0,ProvA
172.0,Producto_172,ROPA,Sub_C,188754.0,305.0,ProvD
,Producto_173,Ropa,Sub_B,42667.0,97.0,ProvA
174.0,Producto_174,Deportes,Sub_A,388796.0,337.0,ProvB
175.0,Producto_175,ALIMENTOS,Sub_B,279644.0,285.0,ProvF
176.0,Producto_176,Hogar,Sub_B,212687.0,334.0,ProvF
177.0,Producto_177,Belleza,Sub_C,453271.0,,ProvE
178.0,Producto_178,Belleza,Sub_B,56488.0,434.0,ProvF
179.0,Producto_179,Electrónica,,246820.0,446.0,ProvC
180.0,Producto_180,Deportes,Sub_C,6665.0,481.0,ProvD
181.0,Producto_181,Alimentos,Sub_B,234862.0,307.0,
182.0,Producto_182,Deportes,Sub_B,29095.0,248.0,ProvC
183.0,Producto_183,Tecnología,Sub_B,60290.0,165.0,
184.0,Producto_184,Alimentos,Sub_A,59646.0,480.0,ProvA
185.0,Producto_185,  Belleza  ,Sub_A,324956.0,471.0,ProvF
186.0,Producto_186,Belleza,Sub_A,373276.0,334.0,ProvB
187.0,Producto_187,Alimentos,Sub_C,292101.0,29.0,ProvB
188.0,Producto_188,Belleza,Sub_E,481124.0,246.0,ProvE
189.0,Producto_189,Hogar,Sub_B,188060.0,105.0,ProvB
190.0,Producto_190,  Alimentos  ,Sub_B,143570.0,50.0,ProvD
191.0,Producto_191,,Sub_C,434431.0,80.0,ProvB
192.0,Producto_192,Alimentos,Sub_B,112574.0,132.0,ProvE
193.0,Producto_193,Belleza,Sub_A,481648.0,284.0,ProvB
194.0,Producto_194,HOGAR,Sub_E,7065.0,387.0,
195.0,Producto_195,,Sub_D,484970.0,,ProvA
196.0,Producto_196,Tecnología,Sub_B,22537.0,183.0,ProvE
197.0,Producto_197,,,445680.0,,ProvA
198.0,Producto_198,Ropa,Sub_D,264323.0,329.0,ProvA
199.0,Producto_199,  Ropa  ,Sub_E,496489.0,272.0,ProvA
200.0,Producto_200,Alimentos,Sub_D,37824.0,339.0,ProvC
78.0,Producto_78,Electrónica,Sub_D,36214.0,64.0,ProvD
4.0,Producto_4,Belleza,Sub_D,,440.0,ProvE
141.0,Producto_141,,Sub_B,165004.0,117.0,ProvD
163.0,Producto_163,ropa,Sub_A,41593.0,65.0,ProvF
128.0,Producto_128,Hogar,Sub_A,160705.0,448.0,ProvE
200.0,Producto_200,Alimentos,Sub_D,37824.0,339.0,ProvC
